movieId,clean_title,genres,year
2294,Antz,Adventure|Animation|Children|Comedy|Fantasy,1998.0
3114,Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,1999.0
3754,"Adventures of Rocky and Bullwinkle, The",Adventure|Animation|Children|Comedy|Fantasy,2000.0
4016,"Emperor's New Groove, The",Adventure|Animation|Children|Comedy|Fantasy,2000.0
4886,"Monsters, Inc.",Adventure|Animation|Children|Comedy|Fantasy,2001.0
45074,"Wild, The",Adventure|Animation|Children|Comedy|Fantasy,2006.0
53121,Shrek the Third,Adventure|Animation|Children|Comedy|Fantasy,2007.0
65577,"Tale of Despereaux, The",Adventure|Animation|Children|Comedy|Fantasy,2008.0
91355,Asterix and the Vikings (Astérix et les Vikings),Adventure|Animation|Children|Comedy|Fantasy,2006.0
103755,Turbo,Adventure|Animation|Children|Comedy|Fantasy,2013.0
